# BE16 Kubelka-Munk unit absorption (K) and scattering (S) coefficients.
# Source: R.S. Berns, "Artist Paint Spectral Database", CIC24 (2016) - RIT,
#   Final_artist_database.xlsx, sheet "k and s data". NINETEEN Golden Heavy
#   Body acrylic-dispersion paints, measured 380-750 nm @ 10 nm on a Macbeth
#   MS7000 integrating sphere (SPIN, 4 measurements averaged); two-constant
#   KM by the masstone-tint method, scattering of white defined as unity.
#   Saunderson k1=0.03, k2=0.65, kInstrument=1.0.
#
# RESCUED 2026-08-30. The source spreadsheet was lost and the RIT and
#   grayskyimaging links are both dead, so these numbers were read back out
#   of the generated src/color/pigments.ts verbatim - not re-derived, not
#   re-fitted. This file now IS the provenance of record for the library.
#   Only the 12 columns the engine took survive here; the other 7 paints in
#   BE16 (incl. C.P. Cadmium Red Light PR108) are NOT recoverable from it.
quantity,wavelength_nm,titanium-white,hansa-yellow,diarylide-yellow,cadmium-orange,pyrrole-red,quinacridone-red,quinacridone-magenta,dioxazine-purple,ultramarine-blue,phthalo-blue-gs,phthalo-green-bs,bone-black
S,580,1.0,0.123392,0.135222,0.238717,0.176044,0.106209,0.09144,0.47127,0.013498,0.161678,0.040059,0.020821
S,590,1.0,0.120893,0.128231,0.203345,0.319653,0.079921,0.058177,0.353474,0.01428,0.206372,0.056274,0.020879
S,600,1.0,0.121176,0.126393,0.166189,0.340177,0.064593,0.038617,0.253605,0.0152,0.270384,0.083559,0.021318
S,610,1.0,0.123474,0.125618,0.146944,0.293086,0.058916,0.032789,0.223835,0.01585,0.345647,0.122601,0.021441
S,620,1.0,0.123463,0.123465,0.139464,0.247975,0.060851,0.036286,0.258416,0.01618,0.404663,0.167748,0.02177
S,630,1.0,0.117568,0.115874,0.132548,0.214774,0.065873,0.044712,0.299983,0.016094,0.447813,0.212393,0.021933
S,640,1.0,0.114613,0.108351,0.129518,0.201729,0.071373,0.054569,0.267945,0.016134,0.484981,0.269349,0.022198
S,650,1.0,0.120387,0.108074,0.134367,0.198762,0.076494,0.063944,0.193134,0.015362,0.484322,0.353467,0.022484
S,660,1.0,0.107511,0.097537,0.120163,0.19432,0.080324,0.071126,0.130076,0.014524,0.454417,0.419077,0.022672
S,670,1.0,0.107498,0.096211,0.121933,0.201509,0.083606,0.077388,0.090033,0.013507,0.43592,0.412865,0.023075
S,680,1.0,0.115852,0.097619,0.122578,0.219843,0.08642,0.082476,0.064914,0.012074,0.449297,0.368828,0.023305
S,690,1.0,0.119552,0.097145,0.121348,0.241215,0.089887,0.087588,0.052768,0.01077,0.497897,0.323166,0.023674
S,700,1.0,0.12245,0.095378,0.12319,0.257046,0.092636,0.091691,0.043398,0.009584,0.600379,0.28893,0.023868
S,710,1.0,0.120649,0.091585,0.12041,0.286499,0.09827,0.098236,0.045727,0.008821,0.767374,0.27127,0.024247
S,720,1.0,0.113408,0.085158,0.113437,0.274989,0.102464,0.102164,0.078301,0.008707,0.880743,0.284826,0.024534
S,730,1.0,0.10175,0.078635,0.102306,0.24295,0.107464,0.106543,0.106871,0.009196,0.85887,0.306695,0.024798
S,740,1.0,0.09017,0.071393,0.092967,0.186405,0.11156,0.109171,0.071704,0.010551,0.698095,0.297933,0.025157
S,750,1.0,0.066288,0.058506,0.073049,0.125018,0.114849,0.110911,0.062562,0.0121,0.516444,0.268504,0.025641
